"LocationID","Borough",Bronx,"service_zone"
50,"Manhattan",Clinton Hill,"Yellow Zone"
51,"Bronx",Co-op City,"Boro Zone"
52,"Brooklyn",Cobble Hill,"Boro Zone"
53,"Queens",College Point,"Boro Zone"
54,"Brooklyn",Cambria Heights,"Boro Zone"
55,"Brooklyn",Coney Island,"Boro Zone"
56,"Queens",Corona,"Boro Zone"
57,"Queens",Corona,"Boro Zone"
58,"Bronx",Country Club,"Boro Zone"
59,"Bronx",Crotona Park East,"Boro Zone"
60,"Bronx",Crotona Park East,"Boro Zone"
61,"Brooklyn",Crown Heights,"Boro Zone"
62,"Brooklyn",Crown Heights,"Boro Zone"
63,"Brooklyn",Forest Hills,"Boro Zone"
64,"Queens",Douglaston,"Boro Zone"
65,"Brooklyn",Brooklyn,"Boro Zone"
66,"Brooklyn",DUMBO,"Boro Zone"
67,"Brooklyn",Dyker Heights,"Boro Zone"
68,"Manhattan",Chelsea,"Yellow Zone"
69,"Bronx",Concourse,"Boro Zone"
70,"Queens",East Elmhurst,"Boro Zone"
71,"Brooklyn",East Flatbush,"Boro Zone"
72,"Brooklyn",East Flatbush,"Boro Zone"
73,"Queens",Flushing,"Boro Zone"
74,"Manhattan",East Harlem,"Boro Zone"
75,"Manhattan",East Harlem,"Boro Zone"
76,"Brooklyn",East New York,"Boro Zone"
77,"Brooklyn",East New York,"Boro Zone"
78,"Bronx",East Tremont,"Boro Zone"
79,"Manhattan",East Village,"Yellow Zone"
80,"Brooklyn",Williamsburg,"Boro Zone"
81,"Bronx",Eastchester,"Boro Zone"
82,"Queens",East Elmhurst,"Boro Zone"
83,"Queens",Elmhurst,"Boro Zone"
84,"Staten Island",Springfield Gardens,"Boro Zone"
85,"Brooklyn",Flatbush,"Boro Zone"
86,"Queens",The Rockaways,"Boro Zone"
87,"Manhattan",Financial District,"Yellow Zone"
88,"Manhattan",Financial District,"Yellow Zone"
89,"Brooklyn",Ditmas Park,"Boro Zone"
90,"Manhattan",Flatiron,"Yellow Zone"
91,"Brooklyn",Flatlands,"Boro Zone"
92,"Queens",Flushing,"Boro Zone"
93,"Queens",Corona,"Boro Zone"
94,"Bronx",Fordham,"Boro Zone"
95,"Queens",Forest Hills,"Boro Zone"
96,"Queens",Forest Hills,"Boro Zone"
97,"Brooklyn",Fort Greene,"Boro Zone"
98,"Queens",Fresh Meadows,"Boro Zone"
99,"Staten Island",Floral Park,"Boro Zone"
100,"Manhattan",Financial District,"Yellow Zone"
101,"Queens",Glen Oaks,"Boro Zone"
102,"Queens",Glendale,"Boro Zone"
103,"Manhattan",Long Island City,"Yellow Zone"
104,"Manhattan",Long Island City,"Yellow Zone"
105,"Manhattan",Long Island City,"Yellow Zone"
106,"Brooklyn",Gowanus,"Boro Zone"
107,"Manhattan",Gramercy Park,"Yellow Zone"
108,"Brooklyn",Gravesend,"Boro Zone"
109,"Staten Island",Forest Hills,"Boro Zone"
110,"Staten Island",Gramercy Park,"Boro Zone"
111,"Brooklyn",Greenwood,"Boro Zone"
112,"Brooklyn",Greenpoint,"Boro Zone"
113,"Manhattan",Greenwich Village,"Yellow Zone"
114,"Manhattan",Greenwich Village,"Yellow Zone"
115,"Staten Island",Forest Hills,"Boro Zone"
116,"Manhattan",Hamilton Heights,"Boro Zone"
117,"Queens",Baychester,"Boro Zone"
118,"Staten Island",East Village,"Boro Zone"
119,"Bronx",Highbridge,"Boro Zone"
120,"Manhattan",Highbridge,"Boro Zone"
121,"Queens",Hillcrest,"Boro Zone"
122,"Queens",Hollis,"Boro Zone"
123,"Brooklyn",Hillcrest,"Boro Zone"
124,"Queens",Howard Beach,"Boro Zone"
125,"Manhattan",Belmont,"Yellow Zone"
126,"Bronx",Hunts Point,"Boro Zone"
127,"Manhattan",Inwood,"Boro Zone"
128,"Manhattan",Inwood,"Boro Zone"
129,"Queens",Jackson Heights,"Boro Zone"
130,"Queens",Jamaica,"Boro Zone"
131,"Queens",Jamaica,"Boro Zone"
132,"Queens",Flatiron,"Airports"
133,"Brooklyn",Kensington,"Boro Zone"
134,"Queens",Kew Gardens,"Boro Zone"
135,"Queens",Kew Gardens,"Boro Zone"
136,"Bronx",Kingsbridge,"Boro Zone"
137,"Manhattan",Mill Basin,"Yellow Zone"
138,"Queens",Briarwood,"Airports"
139,"Queens",Laurelton,"Boro Zone"
140,"Manhattan",Hillcrest,"Yellow Zone"
141,"Manhattan",Hillcrest,"Yellow Zone"
142,"Manhattan",Crotona Park East,"Yellow Zone"
143,"Manhattan",Midtown West,"Yellow Zone"
144,"Manhattan",Little Italy,"Yellow Zone"
145,"Queens",Long Island City,"Boro Zone"
146,"Queens",Long Island City,"Boro Zone"
147,"Bronx",Longwood,"Boro Zone"
148,"Manhattan",Lower East Side,"Yellow Zone"
149,"Brooklyn",Flatiron,"Boro Zone"
150,"Brooklyn",Manhattan,"Boro Zone"
151,"Manhattan",Manhattan,"Yellow Zone"
152,"Manhattan",Manhattan,"Boro Zone"
153,"Manhattan",Marble Hill,"Boro Zone"
154,"Brooklyn",Marine Park,"Boro Zone"
155,"Brooklyn",Marine Park,"Boro Zone"
156,"Staten Island",Marine Park,"Boro Zone"
157,"Queens",Maspeth,"Boro Zone"
158,"Manhattan",West Village,"Yellow Zone"
159,"Bronx",Melrose,"Boro Zone"
160,"Queens",Middle Village,"Boro Zone"
161,"Manhattan",Midtown,"Yellow Zone"
162,"Manhattan",Midtown,"Yellow Zone"
163,"Manhattan",Midtown,"Yellow Zone"
164,"Manhattan",Midtown,"Yellow Zone"
165,"Brooklyn",Midwood,"Boro Zone"
166,"Manhattan",Morningside Heights,"Boro Zone"
167,"Bronx",Melrose,"Boro Zone"
168,"Bronx",Mott Haven,"Boro Zone"
169,"Bronx",Mott Haven,"Boro Zone"
170,"Manhattan",Marble Hill,"Yellow Zone"
171,"Queens",Queens,"Boro Zone"
172,"Staten Island",Gerritsen Beach,"Boro Zone"
173,"Queens",Corona,"Boro Zone"
174,"Bronx",Norwood,"Boro Zone"
175,"Queens",Oakland Gardens,"Boro Zone"
176,"Staten Island",Inwood,"Boro Zone"
177,"Brooklyn",Boerum Hill,"Boro Zone"
178,"Brooklyn",Ocean Parkway,"Boro Zone"
179,"Queens",Astoria,"Boro Zone"
180,"Queens",Ozone Park,"Boro Zone"
181,"Brooklyn",Park Slope,"Boro Zone"
182,"Bronx",Parkchester,"Boro Zone"
183,"Bronx",Pelham Bay,"Boro Zone"
184,"Bronx",Pelham Bay,"Boro Zone"
185,"Bronx",Pelham Parkway,"Boro Zone"
186,"Manhattan",Midtown West,"Yellow Zone"
187,"Staten Island",East Tremont,"Boro Zone"
188,"Brooklyn",Prospect Lefferts Gardens,"Boro Zone"
189,"Brooklyn",Prospect Heights,"Boro Zone"
190,"Brooklyn",Prospect Park,"Boro Zone"
191,"Queens",Queens,"Boro Zone"
192,"Queens",Queens,"Boro Zone"
193,"Queens",Queens,"Boro Zone"
194,"Manhattan",Coney Island,"Yellow Zone"
195,"Brooklyn",Red Hook,"Boro Zone"
196,"Queens",Rego Park,"Boro Zone"
197,"Queens",Richmond Hill,"Boro Zone"
198,"Queens",Ridgewood,"Boro Zone"
199,"Bronx",City Island,"Boro Zone"
200,"Bronx",Riverdale,"Boro Zone"
201,"Queens",Rockaway All,"Boro Zone"
202,"Manhattan",Roosevelt Island,"Boro Zone"
203,"Queens",Rosedale,"Boro Zone"
204,"Staten Island",Ridgewood,"Boro Zone"
205,"Queens",St. Albans,"Boro Zone"
206,"Staten Island",Hamilton Heights,"Boro Zone"
207,"Queens",Woodside,"Boro Zone"
208,"Bronx",Schuylerville,"Boro Zone"
209,"Manhattan",Belmont,"Yellow Zone"
210,"Brooklyn",Sheepshead Bay,"Boro Zone"
211,"Manhattan",Soho,"Yellow Zone"
212,"Bronx",Soundview,"Boro Zone"
213,"Bronx",Castle Hill,"Boro Zone"
214,"Staten Island",South Richmond Hill,"Boro Zone"
215,"Queens",Jamaica,"Boro Zone"
216,"Queens",Ozone Park,"Boro Zone"
217,"Brooklyn",Williamsburg,"Boro Zone"
218,"Queens",Springfield Gardens,"Boro Zone"
219,"Queens",Springfield Gardens,"Boro Zone"
220,"Bronx",Kingsbridge,"Boro Zone"
221,"Staten Island",Laurelton,"Boro Zone"
222,"Brooklyn",Co-op City,"Boro Zone"
223,"Queens",Edenwald,"Boro Zone"
224,"Manhattan",Queens Village,"Yellow Zone"
225,"Brooklyn",Dyker Heights,"Boro Zone"
226,"Queens",Sunnyside,"Boro Zone"
227,"Brooklyn",Sunset Park,"Boro Zone"
228,"Brooklyn",Sunset Park,"Boro Zone"
229,"Manhattan",Crotona Park East,"Yellow Zone"
230,"Manhattan",Financial District,"Yellow Zone"
231,"Manhattan",Civic Center,"Yellow Zone"
232,"Manhattan",Bedford Park,"Yellow Zone"
233,"Manhattan",Central Park South,"Yellow Zone"
234,"Manhattan",Bronx,"Yellow Zone"
235,"Bronx",Morris Heights,"Boro Zone"
236,"Manhattan",Upper East Side,"Yellow Zone"
237,"Manhattan",Upper East Side,"Yellow Zone"
238,"Manhattan",Upper West Side,"Yellow Zone"
239,"Manhattan",Upper West Side,"Yellow Zone"
240,"Bronx",Bedford Park,"Boro Zone"
241,"Bronx",East Village,"Boro Zone"
242,"Bronx",Morris Park,"Boro Zone"
243,"Manhattan",Washington Heights,"Boro Zone"
244,"Manhattan",Washington Heights,"Boro Zone"
245,"Staten Island",East Brooklyn,"Boro Zone"
246,"Manhattan",Chelsea,"Yellow Zone"
247,"Bronx",Concourse,"Boro Zone"
248,"Bronx",Bronx,"Boro Zone"
249,"Manhattan",West Village,"Yellow Zone"
250,"Bronx",Westchester Village,"Boro Zone"
251,"Staten Island",West Harlem,"Boro Zone"
252,"Queens",Whitestone,"Boro Zone"
253,"Queens",College Point,"Boro Zone"
254,"Bronx",Williamsbridge,"Boro Zone"
255,"Brooklyn",Williamsburg,"Boro Zone"
256,"Brooklyn",Williamsburg,"Boro Zone"
257,"Brooklyn",Windsor Terrace,"Boro Zone"
258,"Queens",Woodhaven,"Boro Zone"
259,"Bronx",Wakefield,"Boro Zone"
260,"Queens",Woodside,"Boro Zone"
261,"Manhattan",Fort Greene,"Yellow Zone"
262,"Manhattan",Brookville,"Yellow Zone"
263,"Manhattan",Brookville,"Yellow Zone"
264,"Unknown",NONE,"N/A"
265,"Unknown",NONE,"N/A"
